"SDU_ID","tot_score"
150,0
267,0
296,0
304,0
332,1.66666666666667
339,0.5
340,0.142857142857143
375,0.5
376,0.428571428571429
377,0
411,0.375
412,1
447,0
448,1
449,1.4
482,0
483,0
484,1.4
485,1
514,0
519,0
520,0.666666666666667
521,1.25
554,0.2
555,0.111111111111111
557,1.28571428571429
588,0.75
591,0.142857142857143
592,0.857142857142857
593,1
594,1.5
623,1.11111111111111
624,0.2
626,0.4
627,0
628,2
629,1.85714285714286
660,1
661,0
663,0.166666666666667
664,0.428571428571429
666,1.2
695,1.33333333333333
696,0.8
699,0.125
700,1.33333333333333
701,1.33333333333333
702,0
732,0.75
733,0
735,0
736,0.166666666666667
737,2.5
738,0.333333333333333
768,0.2
771,0
772,0
774,0.75
804,0.5
805,0
808,0
810,1.66666666666667
811,1
840,0.25
843,0
845,1
846,3
882,1.66666666666667
883,2.14285714285714
913,0
917,0
918,2.25
919,1.6
952,0
955,2.2
986,0
987,0
988,0
990,1
991,1.6
1024,0.25
1025,0.5
1026,1
1027,0.5
1028,1.6
1059,0.5
1060,0.4
1061,1
1062,0
1063,2.14285714285714
1064,0.333333333333333
1096,1
1097,0.333333333333333
1098,1
1099,0
1100,1.85714285714286
1131,1
1132,1
1133,1
1135,2.5
1136,1
1168,2
1169,2.33333333333333
1172,2
1173,1
1204,3
1205,2.6
1206,2.5
1208,2
1209,0.5
1241,2
1242,2.42857142857143
1243,0
1244,0
1245,2
1276,0
1277,2
1278,3
1280,1.5
1281,2.5
1312,0
1314,1.66666666666667
1315,1.5
1316,0
1317,2.16666666666667
1318,2.2
1348,0
1349,2
1350,1.71428571428571
1351,0
1352,1.14285714285714
1353,2.5
1354,0.666666666666667
1384,0
1385,1.33333333333333
1386,0.666666666666667
1387,0.75
1388,0.166666666666667
1389,1.5
1390,1.375
1420,0
1421,1.75
1422,0.666666666666667
1423,0
1424,1.16666666666667
1425,1.42857142857143
1426,1.83333333333333
1457,1
1458,0.5
1459,0.333333333333333
1460,0.75
1461,0.857142857142857
1462,1.75
1492,0
1493,1
1494,0.75
1495,0
1496,1.57142857142857
1497,1.42857142857143
1498,1
1530,0.666666666666667
1531,0.5
1532,0.4
1533,0.5
1534,1.14285714285714
1566,1
1567,0.25
1568,1.16666666666667
1569,1.33333333333333
1602,1
1603,1.33333333333333
1604,0.714285714285714
1605,1.125
1606,0.666666666666667
1638,0.666666666666667
1639,1.2
1640,1.5
1641,1
1674,0
1675,1.5
1676,1.57142857142857
1677,0.875
1710,0.833333333333333
1711,0.8
1712,2
1746,0
1747,1
1748,1.57142857142857
1749,1
1782,0.5
1783,1.16666666666667
1784,1.5
1818,0
1819,0.5
1820,2
1821,1.25
1854,0
1855,1.8
1856,1.16666666666667
1860,0
1891,0.666666666666667
1892,1.75
1893,0.25
1896,1
1897,1.5
1926,2
1927,1.5
1928,1.66666666666667
1932,1.71428571428571
1933,1.33333333333333
1962,0
1963,1.6
1964,1.125
1965,2
1968,1.4
1969,2
1970,0.75
1999,1.8
2000,1.66666666666667
2004,2
2005,1.14285714285714
2006,2
2034,0
2035,0.571428571428571
2036,0.833333333333333
2037,2.5
2040,0.666666666666667
2041,1.875
2042,2.25
2070,0
2071,1.8
2072,1
2076,0.857142857142857
2077,2
2078,1.85714285714286
2106,0
2107,0.666666666666667
2108,1.66666666666667
2109,0
2113,1.5
2114,2.33333333333333
2115,1.25
2142,0
2143,1.5
2144,1
2148,0.5
2149,2.16666666666667
2150,1
2178,0
2179,0.5
2180,1.71428571428571
2181,1
2185,1.42857142857143
2186,2
2187,1.4
2215,1.4
2216,1.16666666666667
2221,2.83333333333333
2222,1.71428571428571
2250,0
2252,1.14285714285714
2253,0.6
2257,0.8
2258,2.375
2259,1.625
2288,1
2293,1.6
2294,1.57142857142857
2295,2
2324,0.6
2325,0.4
2330,1.66666666666667
2331,2.11111111111111
2332,2.66666666666667
2360,1.4
2361,0
2365,1
2366,2.2
2367,3.25
2396,1
2397,1.33333333333333
2402,0.5
2403,2.33333333333333
2404,3
2433,0.666666666666667
2438,1
2469,1.77777777777778
2504,1
2505,1.8
2540,0
2541,1.875
2542,0.25
2576,0.75
2577,1.5
2613,1.8
2614,0.5
2648,0.25
2649,1.8
2650,0
2683,0
2685,1.2
2686,1
2720,0.333333333333333
2721,1.75
2722,0.666666666666667
2757,0.6
2758,1.25
2793,1.33333333333333
2794,1
2829,1
2830,0.666666666666667
2837,1.66666666666667
2864,0.5
2865,1
2873,1.66666666666667
2901,1
2904,0
2909,1.14285714285714
2936,1.6
2937,1.5
2939,0
2944,0
2945,1.5
2973,1.25
2976,0.75
2981,1.16666666666667
3008,2.4
3009,0.333333333333333
3011,0.75
3012,0.333333333333333
3017,1.6
3018,1
3043,0
3045,0.857142857142857
3047,0
3049,0.666666666666667
3053,0.857142857142857
3054,0.5
3055,1
3080,2
3081,1.33333333333333
3083,0
3084,1
3089,0.428571428571429
3090,1.42857142857143
3117,1.33333333333333
3119,0
3121,0.6
3125,0.25
3126,1.22222222222222
3127,1
3152,1
3153,1.66666666666667
3156,3.5
3157,0
3161,0.25
3162,1.71428571428571
3189,1.2
3191,0
3193,0.666666666666667
3198,1.16666666666667
3199,0.333333333333333
3224,1.5
3225,1.66666666666667
3226,0
3229,0.5
3233,1
3234,1
3260,0
3261,2.6
3263,1
3266,0.333333333333333
3270,1
3271,1
3296,2
3297,2.25
3298,0
3301,1
3305,2
3306,1.71428571428571
3333,1.6
3334,0.5
3335,1
3338,0
3342,2
3343,1.25
3369,0.333333333333333
3373,0
3377,2.33333333333333
3378,2
3379,1.2
3405,0
3406,0
3407,0.25
3410,0.4
3414,1.88888888888889
3415,1.33333333333333
3441,0
3445,1.33333333333333
3449,1
3450,1.28571428571429
3451,1.85714285714286
3477,0
3479,0.333333333333333
3482,1.33333333333333
3486,1.16666666666667
3487,1.33333333333333
3488,1.66666666666667
3513,0
3515,0.333333333333333
3517,1
3522,1.66666666666667
3523,1.5
3549,0
3558,0.666666666666667
3559,1.25
3560,1.5
3584,0
3585,0
3587,0
3589,1.33333333333333
3594,0.571428571428571
3595,1.5
3621,0
3624,0.5
3626,0.8
3631,0.833333333333333
3632,1.16666666666667
3656,0
3657,0.333333333333333
3660,1
3661,2
3666,0
3667,0.6
3693,0.5
3696,0.333333333333333
3698,0.25
3703,0.333333333333333
3704,0.333333333333333
3729,1
3732,0.6
3734,0.333333333333333
3739,0
3765,0.5
3769,0
3770,3
3771,1.5
3801,0.75
3805,0
3806,1.8
3837,0.428571428571429
3841,0
3842,0.25
3843,2.66666666666667
3872,0
3873,0.5
3877,0.25
3878,1.71428571428571
3909,0.333333333333333
3914,1
3915,2
3945,0.2
3949,1
3950,2.42857142857143
3981,0.25
3986,1.75
3987,1.66666666666667
4016,0
4017,0.2
4021,1
4022,2.16666666666667
4053,0
4054,0.333333333333333
4058,1.75
4059,0
4089,0.166666666666667
4094,0.75
4125,0
4126,0
4161,0
4198,0
4233,0
4270,0
4305,0
4306,0.666666666666667
4338,0
4342,0.5
4378,0.25
4414,0.333333333333333
4450,0.25
4486,0.285714285714286
4520,0
4521,0.166666666666667
4522,0.285714285714286
4557,0
4558,0.4
4593,0.333333333333333
4594,0
4629,0
4630,0.25
4631,0
4665,0
4666,0.5
4702,0
4703,0.666666666666667
4738,1
4739,0.666666666666667
4775,0.666666666666667
4808,0
4810,0
4811,0.5
4848,0.333333333333333
4883,0.5
4919,0
4920,0.4
4953,0
4990,0
4991,0
4992,0.333333333333333
5025,0
5026,0
5028,0
5062,0
5063,0
5064,0
5098,1.5
5100,0
5135,4
5137,0
5170,2
5171,0.5
5173,0
5206,0
5207,2.5
5208,0
5209,0.666666666666667
5243,0.5
5245,0.666666666666667
5281,2
5317,0.75
5353,1
5389,1.25
